,human_baseline_summaries,original_model_summaries,instruct_model_summaries,peft_model_summaries
16,"#Person1# abandons the idea of creating a company after #Person2# explains what a business plan includes. #Person2# specifies that a well-written business plan includes an executive summary, goods and service description, strategy and implementation, and financial analysis.","#Person1#: I am done working for a company that is taking me nowhere! #Person2#: Well, that's exactly what I am going to do! I am going to write up a business plan, get some investors and start working for myself! #Person1#: Well, that's exactly what I am going to do! I am going to write up a business plan, get some investors and start working for myself! #Person1#: Well, all you have to do is explain your business, how you are going to do things, and a market analysis. #Person1#: Well, that seems easy enough! #Person2#: Well, that seems easy enough! Then you need to introduce and describe your goods or services. #Person1#: Well, that seems easy enough! #Person2#: Well, that seems easy! #Person1#:",#Person1# is done working for a company and wants to create a company. #Person2# tells #Person1# the basic information of a business plan and the financial analysis. #Person1# will stick to #Person1#'s old job and save all the hassle of trying to start up a business.,#Person1# is done working for a company that is taking #Person1# nowhere. #Person2# tells #Person1# that #Person1# will create a company and write up a business plan. #Person1# thinks #Person1# will stick to #Person1#'s old job and save #Person1# all the hassle of starting a business.
17,"#Person1# wants to start #Person1#'s own business, but #Person2# warns #Person1# of the hassle. #Person2# tells #Person1# what is needed in a business plan and #Person1# decides to stick to the old job for now.","#Person1#: I am done working for a company that is taking me nowhere! #Person2#: Well, that's exactly what I am going to do! I am going to write up a business plan, get some investors and start working for myself! #Person1#: Well, that's exactly what I am going to do! I am going to write up a business plan, get some investors and start working for myself! #Person1#: Well, all you have to do is explain your business, how you are going to do things, and a market analysis. #Person1#: Well, that seems easy enough! #Person2#: Well, that seems easy enough! Then you need to introduce and describe your goods or services. #Person1#: Well, that seems easy enough! #Person2#: Well, that seems easy! #Person1#:",#Person1# is done working for a company and wants to create a company. #Person2# tells #Person1# the basic information of a business plan and the financial analysis. #Person1# will stick to #Person1#'s old job and save all the hassle of trying to start up a business.,#Person1# is done working for a company that is taking #Person1# nowhere. #Person2# tells #Person1# that #Person1# will create a company and write up a business plan. #Person1# thinks #Person1# will stick to #Person1#'s old job and save #Person1# all the hassle of starting a business.
18,#Person2# feels itchy. #Person1# doubts it is chicken pox and asks #Person2# to get away. #Person2# doesn't believe it.,Person1 is scratching so much that he can't stand it anymore.,#Person2# feels itchy and feels lightheaded. #Person1# thinks #Person2# has chicken pox and #Person2# is a biohazard. #Person1# thinks #Person2# is a biohazard and #Person2# will go take an oatmeal bath.,#Person2# feels itchy and feels weak. #Person1# thinks #Person2# has chicken pox and #Person2# is a biohazard. #Person2# thinks #Person2# is a biohazard and will take an oatmeal bath.
19,#Person1# suspects that #Person2# has chicken pox and wants to keep away from #Person2#. #Person2# thinks #Person1# is exaggerating.,Person1 is scratching so much that he can't stand it anymore.,#Person2# feels itchy and feels lightheaded. #Person1# thinks #Person2# has chicken pox and #Person2# is a biohazard. #Person1# thinks #Person2# is a biohazard and #Person2# will go take an oatmeal bath.,#Person2# feels itchy and feels weak. #Person1# thinks #Person2# has chicken pox and #Person2# is a biohazard. #Person2# thinks #Person2# is a biohazard and will take an oatmeal bath.
20,#Person1# thinks #Person2# has chicken pox and warns #Person2# about the possible hazards but #Person2# thinks it will be fine.,Person1 is scratching so much that he can't stand it anymore.,#Person2# feels itchy and feels lightheaded. #Person1# thinks #Person2# has chicken pox and #Person2# is a biohazard. #Person1# thinks #Person2# is a biohazard and #Person2# will go take an oatmeal bath.,#Person2# feels itchy and feels weak. #Person1# thinks #Person2# has chicken pox and #Person2# is a biohazard. #Person2# thinks #Person2# is a biohazard and will take an oatmeal bath.
21,#Person2# is checking out and asks #Person1# for the bill. #Person1# gives #Person2# a wrong bill at first then corrects it.,#Person1#: I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out,#Person2# is checking out and asks #Person1# to correct the bill because #Person2# didn't take laundry service during the stay. #Person1# apologizes and will correct the bill.,#Person2# is checking out today and asks #Person1# to correct the bill. #Person1# will correct the bill.
22,#Person1# helps #Person2# correct a mischarged bill on laundry service and helps #Person2# check out.,#Person1#: I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out,#Person2# is checking out and asks #Person1# to correct the bill because #Person2# didn't take laundry service during the stay. #Person1# apologizes and will correct the bill.,#Person2# is checking out today and asks #Person1# to correct the bill. #Person1# will correct the bill.
23,#Person2# finds #Person2# being mischarged. #Person1# corrects the bill and #Person2# pays for it.,#Person1#: I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out,#Person2# is checking out and asks #Person1# to correct the bill because #Person2# didn't take laundry service during the stay. #Person1# apologizes and will correct the bill.,#Person2# is checking out today and asks #Person1# to correct the bill. #Person1# will correct the bill.
24,#Person1# is begging Steven to persuade his wife not to divorce him. Steven agrees.,Person1#: I need your help.,#Person1# tells Steven that #Person1# has an affair with #Person1#'s secretary and is going to divorce #Person1#. Steven will try to persuade #Person1# to reconsider the divorce but #Person1# still loves her.,Steven is a divorced woman who has an affair with her secretary. Steven will try his best to persuade her to reconsider the divorce.
25,Steve will try to persuade #Person1#'s wife not to divorce #Person1# as #Person1# swears to remain faithful forever.,Person1#: I need your help.,#Person1# tells Steven that #Person1# has an affair with #Person1#'s secretary and is going to divorce #Person1#. Steven will try to persuade #Person1# to reconsider the divorce but #Person1# still loves her.,Steven is a divorced woman who has an affair with her secretary. Steven will try his best to persuade her to reconsider the divorce.
26,"#Person1# begs Steven's to persuade #Person1#'s wife not to divorce him, and Steven agrees.",Person1#: I need your help.,#Person1# tells Steven that #Person1# has an affair with #Person1#'s secretary and is going to divorce #Person1#. Steven will try to persuade #Person1# to reconsider the divorce but #Person1# still loves her.,Steven is a divorced woman who has an affair with her secretary. Steven will try his best to persuade her to reconsider the divorce.
27,#Person1# and #Person2# are talking about Abraham Lincoln. They think he was a noble man.,#Person1#: I think Abraham Lincoln is a famous man. #Person2#: I think he was famous for his courage in fighting for equal rights.,#Person2# thinks Abraham Lincoln is a man or woman of sound character and admires him for his courage in fighting for equal rights. #Person2# would like to meet Abraham Lincoln personally.,#Person1# and #Person2# are talking about Abraham Lincoln and #Person2# thinks he is a man or woman of sound character. #Person2# thinks he was famous for never giving up on his goals and for his courage in fighting for equal rights.
28,"#Person2# admires Abraham Lincoln for his perseverance, courage and humility.",#Person1#: I think Abraham Lincoln is a famous man. #Person2#: I think he was famous for his courage in fighting for equal rights.,#Person2# thinks Abraham Lincoln is a man or woman of sound character and admires him for his courage in fighting for equal rights. #Person2# would like to meet Abraham Lincoln personally.,#Person1# and #Person2# are talking about Abraham Lincoln and #Person2# thinks he is a man or woman of sound character. #Person2# thinks he was famous for never giving up on his goals and for his courage in fighting for equal rights.
29,#Person1# and #Person2# talk about Abraham Lincoln and his glorious history. They both admire him.,#Person1#: I think Abraham Lincoln is a famous man. #Person2#: I think he was famous for his courage in fighting for equal rights.,#Person2# thinks Abraham Lincoln is a man or woman of sound character and admires him for his courage in fighting for equal rights. #Person2# would like to meet Abraham Lincoln personally.,#Person1# and #Person2# are talking about Abraham Lincoln and #Person2# thinks he is a man or woman of sound character. #Person2# thinks he was famous for never giving up on his goals and for his courage in fighting for equal rights.
30,#Person2# plans to have a trip in Hebei but #Person1# says there are sandstorms in there.,The sandstorms in China are causing a lot of health problems for people in the north of China.,#Person2# is going to Hebei for a trip. #Person1# tells #Person2# the north of China is experiencing severe sandstorms. #Person1# tells #Person2# the number of people with respiratory tract infections tended to rise after sandstorms.,#Person2# is going to Hebei for a trip. #Person1# tells #Person2# that the north of China is experiencing severe sandstorms. #Person2# thinks sandstorms are trouble for everybody.
31,#Person1# tells #Person2# Hebei was experiencing severe sandstorms and sandstorms threaten people's health.,The sandstorms in China are causing a lot of health problems for people in the north of China.,#Person2# is going to Hebei for a trip. #Person1# tells #Person2# the north of China is experiencing severe sandstorms. #Person1# tells #Person2# the number of people with respiratory tract infections tended to rise after sandstorms.,#Person2# is going to Hebei for a trip. #Person1# tells #Person2# that the north of China is experiencing severe sandstorms. #Person2# thinks sandstorms are trouble for everybody.
32,#Person2# wants to travel to Hebei but #Person1# informs #Person2# of terrible sandstorms there.,The sandstorms in China are causing a lot of health problems for people in the north of China.,#Person2# is going to Hebei for a trip. #Person1# tells #Person2# the north of China is experiencing severe sandstorms. #Person1# tells #Person2# the number of people with respiratory tract infections tended to rise after sandstorms.,#Person2# is going to Hebei for a trip. #Person1# tells #Person2# that the north of China is experiencing severe sandstorms. #Person2# thinks sandstorms are trouble for everybody.
33,#Person2# comes to the birthday party of Francis and sends him a remote car model.,Francis's birthday party is coming up.,Francis comes to Francis's birthday party and he likes the remote car model and his favorite brand. Francis appreciates the gift and appreciates the gift more.,Francis is happy to invite #Person2# to his birthday party. Francis likes the remote car model and #Person2#'s favorite brand. Francis appreciates the gift.
34,#Person2# gives Francis a car model that both of them love as a birthday gift.,Francis's birthday party is coming up.,Francis comes to Francis's birthday party and he likes the remote car model and his favorite brand. Francis appreciates the gift and appreciates the gift more.,Francis is happy to invite #Person2# to his birthday party. Francis likes the remote car model and #Person2#'s favorite brand. Francis appreciates the gift.
35,#Person2# gives Francis a nice car model as a birthday gift and Francis appreciates it.,Francis's birthday party is coming up.,Francis comes to Francis's birthday party and he likes the remote car model and his favorite brand. Francis appreciates the gift and appreciates the gift more.,Francis is happy to invite #Person2# to his birthday party. Francis likes the remote car model and #Person2#'s favorite brand. Francis appreciates the gift.
36,Tony got caught cheating and feels ashamed. Steven tells him to learn from it and study hard.,"#Person1#: Hi, Steven.",Tony tells Steven he made a big mistake and feels ashamed because he got caught cheating. Steven advises Tony to study hard and learn from mistakes.,Steven tells Tony he made a big mistake and feels ashamed. Tony tells Steven that he should study hard and learn from his mistakes.
37,Tony tells Steven that he failed a class because of cheating and he feels awful.,"#Person1#: Hi, Steven.",Tony tells Steven he made a big mistake and feels ashamed because he got caught cheating. Steven advises Tony to study hard and learn from mistakes.,Steven tells Tony he made a big mistake and feels ashamed. Tony tells Steven that he should study hard and learn from his mistakes.
38,Tony tells Steven that he cheated on the exam and realized his mistake.,"#Person1#: Hi, Steven.",Tony tells Steven he made a big mistake and feels ashamed because he got caught cheating. Steven advises Tony to study hard and learn from mistakes.,Steven tells Tony he made a big mistake and feels ashamed. Tony tells Steven that he should study hard and learn from his mistakes.
39,#Person1# is catching a train. Tom asks #Person1# not to hurry.,The train is about to leave.,Tom tells #Person1# it's ten to nine and #Person1# must catch the nine-thirty train. #Person1# has plenty of time to catch the train.,Tom is late for the train. He has to catch the nine-thirty train. Tom tells #Person2# he has plenty of time.
40,#Person1# is in a hurry to catch a train. Tom tells #Person1# there is plenty of time.,The train is about to leave.,Tom tells #Person1# it's ten to nine and #Person1# must catch the nine-thirty train. #Person1# has plenty of time to catch the train.,Tom is late for the train. He has to catch the nine-thirty train. Tom tells #Person2# he has plenty of time.
41,#Person1# is rushing to catch a train but Tom thinks it isn't necessary.,The train is about to leave.,Tom tells #Person1# it's ten to nine and #Person1# must catch the nine-thirty train. #Person1# has plenty of time to catch the train.,Tom is late for the train. He has to catch the nine-thirty train. Tom tells #Person2# he has plenty of time.
42,#Person1# wants to adjust #Person1#'s life and #Person2# suggests #Person1# be positive and stay healthy.,Person1: I'm not sure how to adjust my life.,"#Person1# asks #Person2# for some advice on how to adjust #Person1#'s life. #Person2# suggests #Person1# get plenty of sleep, drink a lot of wine, exercise every morning, and worry about the future.","#Person1# asks #Person2# to give #Person1# some advice. #Person1# is pale and can't sleep well every night. #Person2# advises #Person1# to get plenty of sleep, drink a lot of wine, exercise every morning, and worry about the future."
43,#Person1# has a bad lifestyle. #Person2# kindly advises #Person1# to be positive.,Person1: I'm not sure how to adjust my life.,"#Person1# asks #Person2# for some advice on how to adjust #Person1#'s life. #Person2# suggests #Person1# get plenty of sleep, drink a lot of wine, exercise every morning, and worry about the future.","#Person1# asks #Person2# to give #Person1# some advice. #Person1# is pale and can't sleep well every night. #Person2# advises #Person1# to get plenty of sleep, drink a lot of wine, exercise every morning, and worry about the future."
44,#Person2# hopes #Person1# will become healthy and positive.,Person1: I'm not sure how to adjust my life.,"#Person1# asks #Person2# for some advice on how to adjust #Person1#'s life. #Person2# suggests #Person1# get plenty of sleep, drink a lot of wine, exercise every morning, and worry about the future.","#Person1# asks #Person2# to give #Person1# some advice. #Person1# is pale and can't sleep well every night. #Person2# advises #Person1# to get plenty of sleep, drink a lot of wine, exercise every morning, and worry about the future."
45,#Person1# tells #Person2# that Ruojia is married and will have a party tonight. #Person2#'s surprised to know that. They will bring their gifts to bless her.,Ruojia got married yesterday.,#Person1# invites #Person2# to Ruojia's party tonight. #Person2# tells #Person1# that Ruojia got married yesterday. #Person1# tells #Person2# that Ruojia sent an email about it yesterday and #Person2# didn't receive it. #Person1# suggests #Person2# check the email and bring something to Ruojia's home tonight.,#Person1# invites #Person2# to Ruojia's party tonight. #Person2# and #Person1# are happy for her. #Person2# will buy a tea set.
46,#Person2# is surprised to know from #Person1# that Ruojia is married. Then #Person2# finds Ruojia has sent an email about it. They will go to Ruojia's party and give their presents to her.,Ruojia got married yesterday.,#Person1# invites #Person2# to Ruojia's party tonight. #Person2# tells #Person1# that Ruojia got married yesterday. #Person1# tells #Person2# that Ruojia sent an email about it yesterday and #Person2# didn't receive it. #Person1# suggests #Person2# check the email and bring something to Ruojia's home tonight.,#Person1# invites #Person2# to Ruojia's party tonight. #Person2# and #Person1# are happy for her. #Person2# will buy a tea set.
47,#Person2# is surprised that Ruojia's married. #Person1# and #Person2# will go to her party and give their presents to wish her a happy marriage.,Ruojia got married yesterday.,#Person1# invites #Person2# to Ruojia's party tonight. #Person2# tells #Person1# that Ruojia got married yesterday. #Person1# tells #Person2# that Ruojia sent an email about it yesterday and #Person2# didn't receive it. #Person1# suggests #Person2# check the email and bring something to Ruojia's home tonight.,#Person1# invites #Person2# to Ruojia's party tonight. #Person2# and #Person1# are happy for her. #Person2# will buy a tea set.
48,#Person2# at first thinks #Person1#'s behaviour cruel but finally joins #Person1#.,#Person1#: Okay.,#Person1# and #Person2# are playing a game of stealing. #Person2# thinks it's cruel and asks #Person1# to get a shot.,#Person1# tells #Person2# to pull on the strip and peel off the back. #Person2# thinks it's cruel and asks #Person1# to get a shot.
49,#Person1# plans on playing a trick to others. #Person2# thinks it's cruel at first but then joins.,#Person1#: Okay.,#Person1# and #Person2# are playing a game of stealing. #Person2# thinks it's cruel and asks #Person1# to get a shot.,#Person1# tells #Person2# to pull on the strip and peel off the back. #Person2# thinks it's cruel and asks #Person1# to get a shot.
50,#Person1# is about to make a prank. #Person2# thinks it's cruel at first but then joins.,#Person1#: Okay.,#Person1# and #Person2# are playing a game of stealing. #Person2# thinks it's cruel and asks #Person1# to get a shot.,#Person1# tells #Person2# to pull on the strip and peel off the back. #Person2# thinks it's cruel and asks #Person1# to get a shot.
51,Mike is describing his sister to #Person1#.,Mike's sister is tall and pretty.,Mike tells #Person1# his sister is tall and pretty. Mike's sister is not as clever as Mike.,Mike's sister is tall and pretty. Mike's sister is not as clever as Mike.
52,Mike describes to #Person1# his sister's characters and personality.,Mike's sister is tall and pretty.,Mike tells #Person1# his sister is tall and pretty. Mike's sister is not as clever as Mike.,Mike's sister is tall and pretty. Mike's sister is not as clever as Mike.
53,#Person1# asks Mike about his sister.,Mike's sister is tall and pretty.,Mike tells #Person1# his sister is tall and pretty. Mike's sister is not as clever as Mike.,Mike's sister is tall and pretty. Mike's sister is not as clever as Mike.
54,#Person1# feels sick and #Person2# gives #Person1# a check-up.,#Person1#: I have a headache. #Person2#: I think you have a small fever.,#Person1# has a headache and feels dizzy. #Person2# thinks #Person1# should have called in sick.,#Person1# has a headache and #Person2# tells #Person1# #Person1# should've called in sick.
55,#Person2# finds that #Person1# has a fever and says #Person1# should've called in sick earlier.,#Person1#: I have a headache. #Person2#: I think you have a small fever.,#Person1# has a headache and feels dizzy. #Person2# thinks #Person1# should have called in sick.,#Person1# has a headache and #Person2# tells #Person1# #Person1# should've called in sick.
56,#Person2# checks #Person1#'s physical condition and finds #Person1# has a fever.,#Person1#: I have a headache. #Person2#: I think you have a small fever.,#Person1# has a headache and feels dizzy. #Person2# thinks #Person1# should have called in sick.,#Person1# has a headache and #Person2# tells #Person1# #Person1# should've called in sick.
57,#Person1# helps #Person2# to choose a new phone.,#Person1#: I'd like to buy a new mobile phone.,#Person2# wants to buy a new mobile phone with camera and MP3 player. #Person1# recommends a phone with camera and MP3 player and can make video calls.,#Person2# wants to buy a new mobile phone with camera and MP3 player. #Person1# helps #Person2# to choose a phone with camera and MP3 player.
58,#Person2# wants to buy a new mobile phone from #Person1#.,#Person1#: I'd like to buy a new mobile phone.,#Person2# wants to buy a new mobile phone with camera and MP3 player. #Person1# recommends a phone with camera and MP3 player and can make video calls.,#Person2# wants to buy a new mobile phone with camera and MP3 player. #Person1# helps #Person2# to choose a phone with camera and MP3 player.
59,#Person2# wants to buy a new mobile phone from #Person1#.,#Person1#: I'd like to buy a new mobile phone.,#Person2# wants to buy a new mobile phone with camera and MP3 player. #Person1# recommends a phone with camera and MP3 player and can make video calls.,#Person2# wants to buy a new mobile phone with camera and MP3 player. #Person1# helps #Person2# to choose a phone with camera and MP3 player.
60,Frank got a new job and is telling Judy not only the heavy schedule but also the benefits of this job.,Judy has a new job.,Frank tells Judy he got a new job because the government offers employees excellent health insurance benefits. Judy thinks it's a great employment benefit. Frank tells Judy he wants to work for the Post Office because he wants to work for Judy's family.,Judy tells Frank she got a new job and she says the government offers her excellent health insurance benefits. Frank says she will be working for the Post Office and her family members can use the health insurance.
61,Frank explains to Judy the reason why he took a job at the Post office is that the government offers excellent health insurance benefits for its employees.,Judy has a new job.,Frank tells Judy he got a new job because the government offers employees excellent health insurance benefits. Judy thinks it's a great employment benefit. Frank tells Judy he wants to work for the Post Office because he wants to work for Judy's family.,Judy tells Frank she got a new job and she says the government offers her excellent health insurance benefits. Frank says she will be working for the Post Office and her family members can use the health insurance.
62,Frank describes his new job's schedule and insurance at the Post Office to Judy.,Judy has a new job.,Frank tells Judy he got a new job because the government offers employees excellent health insurance benefits. Judy thinks it's a great employment benefit. Frank tells Judy he wants to work for the Post Office because he wants to work for Judy's family.,Judy tells Frank she got a new job and she says the government offers her excellent health insurance benefits. Frank says she will be working for the Post Office and her family members can use the health insurance.
